From file: inhambane 180717
Ser;Meas;Sal.;Temp;Density;S. vel.;Press;Date;Time;;
71;13481;32.58;22.68;22.434;1523.60;0.00;18/07/2017;16:06:20
71;13481;32.57;22.68;22.434;1523.60;0.08;18/07/2017;16:06:21
71;13482;32.36;22.69;22.078;1525.24;0.15;18/07/2017;16:06:22
71;13483;32.32;22.71;21.987;1525.75;0.15;18/07/2017;16:06:23
71;13484;32.25;22.77;21.916;1525.85;0.14;18/07/2017;16:06:24
71;13485;31.73;22.77;21.523;1525.26;0.06;18/07/2017;16:06:25
71;13486;32.26;22.74;21.933;1525.78;0.14;18/07/2017;16:06:26
71;13487;32.29;22.75;21.953;1525.83;0.17;18/07/2017;16:06:27
71;13488;32.28;22.75;21.944;1525.83;0.27;18/07/2017;16:06:28
71;13489;32.25;22.75;21.922;1525.80;0.30;18/07/2017;16:06:29
71;13490;32.25;22.76;21.920;1525.82;0.30;18/07/2017;16:06:30
71;13491;32.31;22.76;21.966;1525.88;0.25;18/07/2017;16:06:31
71;13492;32.33;22.73;21.989;1525.84;0.37;18/07/2017;16:06:32
71;13493;32.31;22.74;21.972;1525.83;0.45;18/07/2017;16:06:33
71;13494;32.28;22.75;21.946;1525.84;0.55;18/07/2017;16:06:34
71;13495;32.24;22.78;21.909;1525.86;0.57;18/07/2017;16:06:35
71;13496;32.28;22.80;21.932;1525.97;0.58;18/07/2017;16:06:36
71;13497;32.28;22.80;21.935;1525.95;0.64;18/07/2017;16:06:37
71;13498;32.27;22.78;21.930;1525.91;0.71;18/07/2017;16:06:38
71;13499;32.28;22.76;21.946;1525.86;0.84;18/07/2017;16:06:39
71;13500;32.29;22.78;21.949;1525.92;0.88;18/07/2017;16:06:40
71;13501;32.29;22.78;21.947;1525.93;0.91;18/07/2017;16:06:41
71;13502;32.27;22.78;21.932;1525.92;0.91;18/07/2017;16:06:42
71;13503;32.27;22.79;21.931;1525.92;0.92;18/07/2017;16:06:43
71;13504;32.30;22.77;21.958;1525.92;0.97;18/07/2017;16:06:44
71;13505;32.32;22.76;21.978;1525.90;1.11;18/07/2017;16:06:45
71;13506;32.30;22.78;21.957;1525.93;1.19;18/07/2017;16:06:46
71;13507;32.31;22.77;21.966;1525.94;1.26;18/07/2017;16:06:47
71;13508;32.31;22.77;21.967;1525.94;1.35;18/07/2017;16:06:48
71;13509;32.31;22.77;21.967;1525.94;1.40;18/07/2017;16:06:49
71;13510;32.32;22.78;21.973;1525.96;1.44;18/07/2017;16:06:50
71;13511;32.30;22.78;21.958;1525.95;1.55;18/07/2017;16:06:51
71;13512;32.31;22.77;21.968;1525.94;1.64;18/07/2017;16:06:52
71;13513;32.31;22.78;21.967;1525.95;1.65;18/07/2017;16:06:53
71;13514;32.31;22.77;21.968;1525.95;1.71;18/07/2017;16:06:54
71;13515;32.34;22.78;21.990;1525.98;1.76;18/07/2017;16:06:55
71;13516;32.35;22.79;21.996;1526.02;1.90;18/07/2017;16:06:56
71;13517;32.33;22.81;21.975;1526.05;1.93;18/07/2017;16:06:57
71;13518;32.38;22.81;22.013;1526.11;1.96;18/07/2017;16:06:58
71;13519;32.37;22.82;22.003;1526.12;2.11;18/07/2017;16:06:59
71;13520;32.39;22.83;22.015;1526.19;2.19;18/07/2017;16:07:00
71;13521;32.43;22.86;22.037;1526.30;2.21;18/07/2017;16:07:01
71;13522;32.40;22.88;22.009;1526.33;2.33;18/07/2017;16:07:02
71;13523;32.40;22.91;22.002;1526.40;2.43;18/07/2017;16:07:03
71;13524;32.42;22.92;22.014;1526.45;2.44;18/07/2017;16:07:04
71;13525;32.41;22.92;22.006;1526.44;2.44;18/07/2017;16:07:05
71;13526;32.43;22.91;22.023;1526.44;2.43;18/07/2017;16:07:06
71;13527;32.42;22.91;22.015;1526.43;2.45;18/07/2017;16:07:07
71;13528;32.40;22.91;22.000;1526.42;2.45;18/07/2017;16:07:08
71;13529;32.39;22.91;21.994;1526.39;2.51;18/07/2017;16:07:09
71;13530;32.39;22.90;21.997;1526.37;2.61;18/07/2017;16:07:10
71;13531;32.40;22.90;22.005;1526.39;2.77;18/07/2017;16:07:11
71;13532;32.40;22.90;22.005;1526.39;2.78;18/07/2017;16:07:12
71;13533;32.40;22.90;22.005;1526.39;2.80;18/07/2017;16:07:13
71;13534;32.41;22.89;22.015;1526.38;2.94;18/07/2017;16:07:14
