From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
1;1;0,00;30,289;-4,436;0,00;03/02/2019;10:08:09
1;2;0,00;30,263;-4,429;0,00;03/02/2019;10:08:10
1;3;0,00;30,284;-4,435;0,00;03/02/2019;10:08:11
1;4;0,00;30,311;-4,443;0,00;03/02/2019;10:08:12
1;5;0,00;30,337;-4,451;0,00;03/02/2019;10:08:13
1;6;0,00;30,358;-4,457;0,00;03/02/2019;10:08:14
1;7;0,00;30,379;-4,464;0,00;03/02/2019;10:08:15
2;8;0,00;30,177;-4,402;0,00;03/02/2019;11:53:49
2;9;0,00;30,110;-4,382;0,00;03/02/2019;11:53:50
2;10;0,00;30,072;-4,371;0,00;03/02/2019;11:53:51
2;11;0,00;30,034;-4,359;0,00;03/02/2019;11:53:52
2;12;0,00;29,996;-4,348;0,00;03/02/2019;11:53:53
2;13;0,00;29,976;-4,342;0,00;03/02/2019;11:53:54
2;14;0,00;29,960;-4,337;0,00;03/02/2019;11:53:55
2;15;0,00;29,916;-4,324;0,00;03/02/2019;11:53:56
2;16;0,00;29,875;-4,311;0,01;03/02/2019;11:53:57
2;17;0,00;29,841;-4,301;0,00;03/02/2019;11:53:58
2;18;0,00;29,828;-4,297;0,00;03/02/2019;11:53:59
2;19;0,00;29,823;-4,296;0,00;03/02/2019;11:54:00
2;20;0,00;29,827;-4,297;0,00;03/02/2019;11:54:01
2;21;0,00;29,828;-4,297;0,00;03/02/2019;11:54:02
2;22;0,00;29,830;-4,298;0,00;03/02/2019;11:54:03
2;23;0,00;29,827;-4,297;0,00;03/02/2019;11:54:04
2;24;0,00;29,830;-4,298;0,00;03/02/2019;11:54:05
2;25;0,00;29,814;-4,293;0,00;03/02/2019;11:54:06
2;26;0,00;29,791;-4,286;0,00;03/02/2019;11:54:07
2;27;0,00;29,807;-4,291;0,00;03/02/2019;11:54:08
2;28;0,00;29,829;-4,297;0,00;03/02/2019;11:54:09
2;29;0,00;29,843;-4,302;0,00;03/02/2019;11:54:10
2;30;0,00;29,857;-4,306;0,00;03/02/2019;11:54:11
2;31;0,00;29,862;-4,307;0,00;03/02/2019;11:54:12
2;32;0,00;29,865;-4,308;0,00;03/02/2019;11:54:13
2;33;0,00;29,852;-4,304;0,00;03/02/2019;11:54:14
2;34;0,00;29,846;-4,302;0,00;03/02/2019;11:54:15
2;35;0,00;29,869;-4,309;0,00;03/02/2019;11:54:16
2;36;0,00;29,876;-4,312;0,00;03/02/2019;11:54:17
2;37;0,00;29,893;-4,317;0,00;03/02/2019;11:54:18
2;38;0,00;29,878;-4,312;0,00;03/02/2019;11:54:19
2;39;0,00;29,872;-4,310;0,00;03/02/2019;11:54:20
2;40;0,00;29,867;-4,309;0,00;03/02/2019;11:54:21
2;41;0,00;29,866;-4,309;0,00;03/02/2019;11:54:22
2;42;0,00;29,862;-4,307;0,00;03/02/2019;11:54:23
2;43;0,00;29,875;-4,311;0,00;03/02/2019;11:54:24
2;44;0,00;29,874;-4,311;0,00;03/02/2019;11:54:25
2;45;0,00;29,879;-4,312;0,00;03/02/2019;11:54:26
2;46;0,00;29,894;-4,317;0,00;03/02/2019;11:54:27
2;47;0,00;29,929;-4,327;0,00;03/02/2019;11:54:28
2;48;0,00;29,948;-4,333;0,00;03/02/2019;11:54:29
2;49;0,00;29,939;-4,330;0,00;03/02/2019;11:54:30
2;50;0,00;29,946;-4,333;0,00;03/02/2019;11:54:31
2;51;0,00;29,949;-4,333;0,01;03/02/2019;11:54:32
2;52;0,00;29,946;-4,333;0,00;03/02/2019;11:54:33
2;53;0,00;29,944;-4,332;0,00;03/02/2019;11:54:34
2;54;0,00;29,953;-4,335;0,00;03/02/2019;11:54:35
2;55;0,00;29,959;-4,336;0,00;03/02/2019;11:54:36
2;56;0,00;29,967;-4,339;0,00;03/02/2019;11:54:37
2;57;0,00;29,953;-4,335;0,00;03/02/2019;11:54:38
2;58;0,00;29,922;-4,325;0,00;03/02/2019;11:54:39
2;59;0,00;29,928;-4,327;0,00;03/02/2019;11:54:40
2;60;0,00;29,923;-4,326;0,00;03/02/2019;11:54:41
2;61;0,00;29,917;-4,324;0,00;03/02/2019;11:54:42
2;62;0,00;29,902;-4,319;0,00;03/02/2019;11:54:43
2;63;0,00;29,899;-4,318;0,00;03/02/2019;11:54:44
2;64;0,00;29,892;-4,316;0,00;03/02/2019;11:54:45
2;65;0,00;29,907;-4,321;0,00;03/02/2019;11:54:46
2;66;0,00;29,912;-4,322;0,00;03/02/2019;11:54:47
2;67;0,00;29,884;-4,314;0,00;03/02/2019;11:54:48
2;68;0,00;29,876;-4,312;0,00;03/02/2019;11:54:49
2;69;0,00;29,870;-4,310;0,00;03/02/2019;11:54:50
2;70;0,00;29,860;-4,307;0,00;03/02/2019;11:54:51
