From file: 040219  
Ser;Meas;Sal.;Temp;Density;Depth;Date;Time;;
18;3742;30.48;29.141;18.632;0.30;04/02/2019;10:04:14
18;3743;30.48;29.159;18.626;0.31;04/02/2019;10:04:15
18;3744;30.50;29.159;18.641;0.33;04/02/2019;10:04:16
18;3745;30.48;29.165;18.624;0.32;04/02/2019;10:04:17
18;3746;30.47;29.166;18.616;0.30;04/02/2019;10:04:18
18;3747;30.49;29.172;18.629;0.33;04/02/2019;10:04:19
18;3748;30.48;29.176;18.620;0.31;04/02/2019;10:04:20
18;3749;30.46;29.182;18.603;0.31;04/02/2019;10:04:21
18;3750;30.47;29.185;18.610;0.33;04/02/2019;10:04:22
18;3751;30.45;29.175;18.598;0.32;04/02/2019;10:04:23
18;3752;30.45;29.178;18.597;0.32;04/02/2019;10:04:24
18;3753;30.45;29.179;18.597;0.31;04/02/2019;10:04:25
18;3754;30.46;29.177;18.605;0.32;04/02/2019;10:04:26
18;3755;30.47;29.174;18.613;0.30;04/02/2019;10:04:27
18;3756;30.47;29.176;18.613;0.32;04/02/2019;10:04:28
18;3757;30.46;29.175;18.606;0.32;04/02/2019;10:04:29
18;3758;30.48;29.176;18.620;0.32;04/02/2019;10:04:30
18;3759;30.46;29.177;18.605;0.32;04/02/2019;10:04:31
18;3760;30.46;29.175;18.606;0.31;04/02/2019;10:04:32
18;3761;30.47;29.168;18.615;0.31;04/02/2019;10:04:33
18;3762;30.47;29.170;18.615;0.32;04/02/2019;10:04:34
18;3763;30.47;29.174;18.613;0.30;04/02/2019;10:04:35
18;3764;30.45;29.179;18.597;0.32;04/02/2019;10:04:36
18;3765;30.47;29.181;18.611;0.31;04/02/2019;10:04:37
18;3766;30.47;29.184;18.610;0.33;04/02/2019;10:04:38
18;3767;30.47;29.181;18.611;0.31;04/02/2019;10:04:39
18;3768;30.46;29.187;18.602;0.31;04/02/2019;10:04:40
18;3769;30.47;29.182;18.611;0.32;04/02/2019;10:04:41
18;3770;30.46;29.190;18.601;0.31;04/02/2019;10:04:42
18;3771;30.45;29.187;18.594;0.32;04/02/2019;10:04:43
