------------------------------------------------------------
 Model:        na/Downloads/OTPSnc/Model_tpxo9_v1
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
   -23.8667   35.3767     03.07.2011 22:00:00    -1.243   184.574
   -23.8667   35.3767     03.07.2011 23:00:00    -0.868   184.574
   -23.8667   35.3767     03.08.2011 00:00:00    -0.273   184.574
   -23.8667   35.3767     03.08.2011 01:00:00     0.387   184.574
   -23.8667   35.3767     03.08.2011 02:00:00     0.942   184.574
   -23.8667   35.3767     03.08.2011 03:00:00     1.252   184.574
   -23.8667   35.3767     03.08.2011 04:00:00     1.237   184.574
   -23.8667   35.3767     03.08.2011 05:00:00     0.905   184.574
   -23.8667   35.3767     03.08.2011 06:00:00     0.344   184.574
   -23.8667   35.3767     03.08.2011 07:00:00    -0.297   184.574
   -23.8667   35.3767     03.08.2011 08:00:00    -0.854   184.574
   -23.8667   35.3767     03.08.2011 09:00:00    -1.180   184.574
   -23.8667   35.3767     03.08.2011 10:00:00    -1.194   184.574
   -23.8667   35.3767     03.08.2011 11:00:00    -0.895   184.574
   -23.8667   35.3767     03.08.2011 12:00:00    -0.361   184.574
   -23.8667   35.3767     03.08.2011 13:00:00     0.266   184.574
   -23.8667   35.3767     03.08.2011 14:00:00     0.822   184.574
   -23.8667   35.3767     03.08.2011 15:00:00     1.163   184.574
   -23.8667   35.3767     03.08.2011 16:00:00     1.200   184.574
   -23.8667   35.3767     03.08.2011 17:00:00     0.924   184.574
   -23.8667   35.3767     03.08.2011 18:00:00     0.409   184.574
   -23.8667   35.3767     03.08.2011 19:00:00    -0.213   184.574
   -23.8667   35.3767     03.08.2011 20:00:00    -0.779   184.574
   -23.8667   35.3767     03.08.2011 21:00:00    -1.146   184.574
   -23.8667   35.3767     03.08.2011 22:00:00    -1.218   184.574
   -23.8667   35.3767     03.08.2011 23:00:00    -0.980   184.574
   -23.8667   35.3767     03.09.2011 00:00:00    -0.495   184.574
   -23.8667   35.3767     03.09.2011 01:00:00     0.111   184.574
   -23.8667   35.3767     03.09.2011 02:00:00     0.681   184.574
   -23.8667   35.3767     03.09.2011 03:00:00     1.069   184.574
   -23.8667   35.3767     03.09.2011 04:00:00     1.178   184.574
   -23.8667   35.3767     03.09.2011 05:00:00     0.983   184.574
   -23.8667   35.3767     03.09.2011 06:00:00     0.538   184.574
   -23.8667   35.3767     03.09.2011 07:00:00    -0.039   184.574
   -23.8667   35.3767     03.09.2011 08:00:00    -0.597   184.574
   -23.8667   35.3767     03.09.2011 09:00:00    -0.991   184.574
   -23.8667   35.3767     03.09.2011 10:00:00    -1.121   184.574
   -23.8667   35.3767     03.09.2011 11:00:00    -0.957   184.574
   -23.8667   35.3767     03.09.2011 12:00:00    -0.543   184.574
   -23.8667   35.3767     03.09.2011 13:00:00     0.011   184.574
   -23.8667   35.3767     03.09.2011 14:00:00     0.559   184.574
   -23.8667   35.3767     03.09.2011 15:00:00     0.958   184.574
   -23.8667   35.3767     03.09.2011 16:00:00     1.108   184.574
   -23.8667   35.3767     03.09.2011 17:00:00     0.969   184.574
   -23.8667   35.3767     03.09.2011 18:00:00     0.581   184.574
   -23.8667   35.3767     03.09.2011 19:00:00     0.045   184.574
   -23.8667   35.3767     03.09.2011 20:00:00    -0.500   184.574
   -23.8667   35.3767     03.09.2011 21:00:00    -0.914   184.574
   -23.8667   35.3767     03.09.2011 22:00:00    -1.092   184.574
   -23.8667   35.3767     03.09.2011 23:00:00    -0.991   184.574
   -23.8667   35.3767     03.10.2011 00:00:00    -0.639   184.574
   -23.8667   35.3767     03.10.2011 01:00:00    -0.131   184.574
   -23.8667   35.3767     03.10.2011 02:00:00     0.402   184.574
   -23.8667   35.3767     03.10.2011 03:00:00     0.823   184.574
   -23.8667   35.3767     03.10.2011 04:00:00     1.026   184.574
   -23.8667   35.3767     03.10.2011 05:00:00     0.962   184.574
   -23.8667   35.3767     03.10.2011 06:00:00     0.653   184.574
   -23.8667   35.3767     03.10.2011 07:00:00     0.181   184.574
   -23.8667   35.3767     03.10.2011 08:00:00    -0.328   184.574
   -23.8667   35.3767     03.10.2011 09:00:00    -0.743   184.574
   -23.8667   35.3767     03.10.2011 10:00:00    -0.957   184.574
   -23.8667   35.3767     03.10.2011 11:00:00    -0.919   184.574
   -23.8667   35.3767     03.10.2011 12:00:00    -0.642   184.574
   -23.8667   35.3767     03.10.2011 13:00:00    -0.200   184.574
   -23.8667   35.3767     03.10.2011 14:00:00     0.290   184.574
   -23.8667   35.3767     03.10.2011 15:00:00     0.700   184.574
   -23.8667   35.3767     03.10.2011 16:00:00     0.925   184.574
   -23.8667   35.3767     03.10.2011 17:00:00     0.911   184.574
   -23.8667   35.3767     03.10.2011 18:00:00     0.663   184.574
   -23.8667   35.3767     03.10.2011 19:00:00     0.247   184.574
   -23.8667   35.3767     03.10.2011 20:00:00    -0.227   184.574
   -23.8667   35.3767     03.10.2011 21:00:00    -0.638   184.574
   -23.8667   35.3767     03.10.2011 22:00:00    -0.882   184.574
   -23.8667   35.3767     03.10.2011 23:00:00    -0.899   184.574
   -23.8667   35.3767     03.11.2011 00:00:00    -0.690   184.574
   -23.8667   35.3767     03.11.2011 01:00:00    -0.310   184.574
   -23.8667   35.3767     03.11.2011 02:00:00     0.139   184.574
   -23.8667   35.3767     03.11.2011 03:00:00     0.542   184.574
   -23.8667   35.3767     03.11.2011 04:00:00     0.797   184.574
   -23.8667   35.3767     03.11.2011 05:00:00     0.844   184.574
   -23.8667   35.3767     03.11.2011 06:00:00     0.673   184.574
   -23.8667   35.3767     03.11.2011 07:00:00     0.335   184.574
   -23.8667   35.3767     03.11.2011 08:00:00    -0.080   184.574
   -23.8667   35.3767     03.11.2011 09:00:00    -0.465   184.574
   -23.8667   35.3767     03.11.2011 10:00:00    -0.720   184.574
   -23.8667   35.3767     03.11.2011 11:00:00    -0.784   184.574
   -23.8667   35.3767     03.11.2011 12:00:00    -0.643   184.574
   -23.8667   35.3767     03.11.2011 13:00:00    -0.339   184.574
   -23.8667   35.3767     03.11.2011 14:00:00     0.048   184.574
   -23.8667   35.3767     03.11.2011 15:00:00     0.417   184.574
   -23.8667   35.3767     03.11.2011 16:00:00     0.673   184.574
   -23.8667   35.3767     03.11.2011 17:00:00     0.754   184.574
   -23.8667   35.3767     03.11.2011 18:00:00     0.642   184.574
   -23.8667   35.3767     03.11.2011 19:00:00     0.369   184.574
   -23.8667   35.3767     03.11.2011 20:00:00     0.008   184.574
   -23.8667   35.3767     03.11.2011 21:00:00    -0.348   184.574
   -23.8667   35.3767     03.11.2011 22:00:00    -0.609   184.574
   -23.8667   35.3767     03.11.2011 23:00:00    -0.713   184.574
   -23.8667   35.3767     03.12.2011 00:00:00    -0.636   184.574
   -23.8667   35.3767     03.12.2011 01:00:00    -0.404   184.574
   -23.8667   35.3767     03.12.2011 02:00:00    -0.079   184.574
   -23.8667   35.3767     03.12.2011 03:00:00     0.255   184.574
   -23.8667   35.3767     03.12.2011 04:00:00     0.513   184.574
   -23.8667   35.3767     03.12.2011 05:00:00     0.633   184.574
   -23.8667   35.3767     03.12.2011 06:00:00     0.590   184.574
   -23.8667   35.3767     03.12.2011 07:00:00     0.400   184.574
   -23.8667   35.3767     03.12.2011 08:00:00     0.115   184.574
   -23.8667   35.3767     03.12.2011 09:00:00    -0.188   184.574
   -23.8667   35.3767     03.12.2011 10:00:00    -0.433   184.574
   -23.8667   35.3767     03.12.2011 11:00:00    -0.560   184.574
   -23.8667   35.3767     03.12.2011 12:00:00    -0.540   184.574
   -23.8667   35.3767     03.12.2011 13:00:00    -0.383   184.574
   -23.8667   35.3767     03.12.2011 14:00:00    -0.134   184.574
   -23.8667   35.3767     03.12.2011 15:00:00     0.143   184.574
   -23.8667   35.3767     03.12.2011 16:00:00     0.377   184.574
   -23.8667   35.3767     03.12.2011 17:00:00     0.511   184.574
   -23.8667   35.3767     03.12.2011 18:00:00     0.514   184.574
   -23.8667   35.3767     03.12.2011 19:00:00     0.391   184.574
   -23.8667   35.3767     03.12.2011 20:00:00     0.176   184.574
   -23.8667   35.3767     03.12.2011 21:00:00    -0.075   184.574
   -23.8667   35.3767     03.12.2011 22:00:00    -0.299   184.574
   -23.8667   35.3767     03.12.2011 23:00:00    -0.442   184.574
   -23.8667   35.3767     03.13.2011 00:00:00    -0.473   184.574
   -23.8667   35.3767     03.13.2011 01:00:00    -0.390   184.574
   -23.8667   35.3767     03.13.2011 02:00:00    -0.218   184.574
   -23.8667   35.3767     03.13.2011 03:00:00    -0.003   184.574
   -23.8667   35.3767     03.13.2011 04:00:00     0.201   184.574
   -23.8667   35.3767     03.13.2011 05:00:00     0.345   184.574
   -23.8667   35.3767     03.13.2011 06:00:00     0.398   184.574
   -23.8667   35.3767     03.13.2011 07:00:00     0.352   184.574
   -23.8667   35.3767     03.13.2011 08:00:00     0.223   184.574
   -23.8667   35.3767     03.13.2011 09:00:00     0.048   184.574
   -23.8667   35.3767     03.13.2011 10:00:00    -0.129   184.574
   -23.8667   35.3767     03.13.2011 11:00:00    -0.266   184.574
   -23.8667   35.3767     03.13.2011 12:00:00    -0.332   184.574
   -23.8667   35.3767     03.13.2011 13:00:00    -0.315   184.574
   -23.8667   35.3767     03.13.2011 14:00:00    -0.223   184.574
   -23.8667   35.3767     03.13.2011 15:00:00    -0.084   184.574
   -23.8667   35.3767     03.13.2011 16:00:00     0.070   184.574
   -23.8667   35.3767     03.13.2011 17:00:00     0.200   184.574
   -23.8667   35.3767     03.13.2011 18:00:00     0.280   184.574
   -23.8667   35.3767     03.13.2011 19:00:00     0.294   184.574
   -23.8667   35.3767     03.13.2011 20:00:00     0.242   184.574
   -23.8667   35.3767     03.13.2011 21:00:00     0.141   184.574
   -23.8667   35.3767     03.13.2011 22:00:00     0.014   184.574
   -23.8667   35.3767     03.13.2011 23:00:00    -0.108   184.574
   -23.8667   35.3767     03.14.2011 00:00:00    -0.201   184.574
   -23.8667   35.3767     03.14.2011 01:00:00    -0.248   184.574
   -23.8667   35.3767     03.14.2011 02:00:00    -0.241   184.574
   -23.8667   35.3767     03.14.2011 03:00:00    -0.185   184.574
   -23.8667   35.3767     03.14.2011 04:00:00    -0.095   184.574
   -23.8667   35.3767     03.14.2011 05:00:00     0.009   184.574
   -23.8667   35.3767     03.14.2011 06:00:00     0.106   184.574
   -23.8667   35.3767     03.14.2011 07:00:00     0.177   184.574
   -23.8667   35.3767     03.14.2011 08:00:00     0.209   184.574
   -23.8667   35.3767     03.14.2011 09:00:00     0.198   184.574
   -23.8667   35.3767     03.14.2011 10:00:00     0.146   184.574
   -23.8667   35.3767     03.14.2011 11:00:00     0.064   184.574
   -23.8667   35.3767     03.14.2011 12:00:00    -0.032   184.574
   -23.8667   35.3767     03.14.2011 13:00:00    -0.122   184.574
   -23.8667   35.3767     03.14.2011 14:00:00    -0.190   184.574
   -23.8667   35.3767     03.14.2011 15:00:00    -0.219   184.574
   -23.8667   35.3767     03.14.2011 16:00:00    -0.203   184.574
   -23.8667   35.3767     03.14.2011 17:00:00    -0.142   184.574
   -23.8667   35.3767     03.14.2011 18:00:00    -0.046   184.574
   -23.8667   35.3767     03.14.2011 19:00:00     0.067   184.574
   -23.8667   35.3767     03.14.2011 20:00:00     0.173   184.574
   -23.8667   35.3767     03.14.2011 21:00:00     0.250   184.574
   -23.8667   35.3767     03.14.2011 22:00:00     0.277   184.574
   -23.8667   35.3767     03.14.2011 23:00:00     0.246   184.574
   -23.8667   35.3767     03.15.2011 00:00:00     0.157   184.574
   -23.8667   35.3767     03.15.2011 01:00:00     0.028   184.574
   -23.8667   35.3767     03.15.2011 02:00:00    -0.116   184.574
   -23.8667   35.3767     03.15.2011 03:00:00    -0.241   184.574
   -23.8667   35.3767     03.15.2011 04:00:00    -0.318   184.574
   -23.8667   35.3767     03.15.2011 05:00:00    -0.325   184.574
   -23.8667   35.3767     03.15.2011 06:00:00    -0.255   184.574
   -23.8667   35.3767     03.15.2011 07:00:00    -0.121   184.574
   -23.8667   35.3767     03.15.2011 08:00:00     0.048   184.574
   -23.8667   35.3767     03.15.2011 09:00:00     0.214   184.574
   -23.8667   35.3767     03.15.2011 10:00:00     0.334   184.574
   -23.8667   35.3767     03.15.2011 11:00:00     0.375   184.574
   -23.8667   35.3767     03.15.2011 12:00:00     0.322   184.574
   -23.8667   35.3767     03.15.2011 13:00:00     0.183   184.574
   -23.8667   35.3767     03.15.2011 14:00:00    -0.012   184.574
   -23.8667   35.3767     03.15.2011 15:00:00    -0.218   184.574
   -23.8667   35.3767     03.15.2011 16:00:00    -0.382   184.574
   -23.8667   35.3767     03.15.2011 17:00:00    -0.458   184.574
   -23.8667   35.3767     03.15.2011 18:00:00    -0.422   184.574
   -23.8667   35.3767     03.15.2011 19:00:00    -0.276   184.574
   -23.8667   35.3767     03.15.2011 20:00:00    -0.049   184.574
   -23.8667   35.3767     03.15.2011 21:00:00     0.205   184.574
   -23.8667   35.3767     03.15.2011 22:00:00     0.425   184.574
   -23.8667   35.3767     03.15.2011 23:00:00     0.552   184.574
   -23.8667   35.3767     03.16.2011 00:00:00     0.549   184.574
   -23.8667   35.3767     03.16.2011 01:00:00     0.411   184.574
   -23.8667   35.3767     03.16.2011 02:00:00     0.166   184.574
   -23.8667   35.3767     03.16.2011 03:00:00    -0.129   184.574
   -23.8667   35.3767     03.16.2011 04:00:00    -0.402   184.574
   -23.8667   35.3767     03.16.2011 05:00:00    -0.582   184.574
   -23.8667   35.3767     03.16.2011 06:00:00    -0.621   184.574
   -23.8667   35.3767     03.16.2011 07:00:00    -0.503   184.574
   -23.8667   35.3767     03.16.2011 08:00:00    -0.254   184.574
   -23.8667   35.3767     03.16.2011 09:00:00     0.066   184.574
   -23.8667   35.3767     03.16.2011 10:00:00     0.377   184.574
   -23.8667   35.3767     03.16.2011 11:00:00     0.598   184.574
   -23.8667   35.3767     03.16.2011 12:00:00     0.667   184.574
   -23.8667   35.3767     03.16.2011 13:00:00     0.561   184.574
   -23.8667   35.3767     03.16.2011 14:00:00     0.301   184.574
   -23.8667   35.3767     03.16.2011 15:00:00    -0.052   184.574
   -23.8667   35.3767     03.16.2011 16:00:00    -0.408   184.574
   -23.8667   35.3767     03.16.2011 17:00:00    -0.675   184.574
   -23.8667   35.3767     03.16.2011 18:00:00    -0.779   184.574
   -23.8667   35.3767     03.16.2011 19:00:00    -0.686   184.574
   -23.8667   35.3767     03.16.2011 20:00:00    -0.411   184.574
   -23.8667   35.3767     03.16.2011 21:00:00    -0.019   184.574
   -23.8667   35.3767     03.16.2011 22:00:00     0.396   184.574
   -23.8667   35.3767     03.16.2011 23:00:00     0.728   184.574
   -23.8667   35.3767     03.17.2011 00:00:00     0.890   184.574
   -23.8667   35.3767     03.17.2011 01:00:00     0.835   184.574
   -23.8667   35.3767     03.17.2011 02:00:00     0.571   184.574
   -23.8667   35.3767     03.17.2011 03:00:00     0.160   184.574
   -23.8667   35.3767     03.17.2011 04:00:00    -0.298   184.574
   -23.8667   35.3767     03.17.2011 05:00:00    -0.686   184.574
   -23.8667   35.3767     03.17.2011 06:00:00    -0.905   184.574
   -23.8667   35.3767     03.17.2011 07:00:00    -0.894   184.574
   -23.8667   35.3767     03.17.2011 08:00:00    -0.654   184.574
   -23.8667   35.3767     03.17.2011 09:00:00    -0.241   184.574
   -23.8667   35.3767     03.17.2011 10:00:00     0.240   184.574
   -23.8667   35.3767     03.17.2011 11:00:00     0.664   184.574
   -23.8667   35.3767     03.17.2011 12:00:00     0.920   184.574
   -23.8667   35.3767     03.17.2011 13:00:00     0.936   184.574
   -23.8667   35.3767     03.17.2011 14:00:00     0.702   184.574
   -23.8667   35.3767     03.17.2011 15:00:00     0.272   184.574
   -23.8667   35.3767     03.17.2011 16:00:00    -0.246   184.574
   -23.8667   35.3767     03.17.2011 17:00:00    -0.720   184.574
   -23.8667   35.3767     03.17.2011 18:00:00    -1.025   184.574
   -23.8667   35.3767     03.17.2011 19:00:00    -1.075   184.574
   -23.8667   35.3767     03.17.2011 20:00:00    -0.851   184.574
   -23.8667   35.3767     03.17.2011 21:00:00    -0.401   184.574
   -23.8667   35.3767     03.17.2011 22:00:00     0.165   184.574
   -23.8667   35.3767     03.17.2011 23:00:00     0.706   184.574
   -23.8667   35.3767     03.18.2011 00:00:00     1.084   184.574
   -23.8667   35.3767     03.18.2011 01:00:00     1.199   184.574
   -23.8667   35.3767     03.18.2011 02:00:00     1.018   184.574
